iter	Passed	Remaining
0	195	195583
1	244	122068
2	291	96717
3	339	84522
4	402	80118
5	512	84958
6	607	86174
7	668	82875
8	724	79783
9	792	78467
10	862	77567
11	934	76970
12	990	75201
13	1075	75741
14	1148	75414
15	1208	74307
16	1254	72544
17	1318	71921
18	1376	71065
19	1424	69792
20	1472	68658
21	1523	67711
22	1587	67452
23	1636	66532
24	1710	66702
25	1768	66256
26	1823	65723
27	1871	64960
28	1919	64256
29	1966	63573
30	2011	62869
31	2052	62089
32	2106	61726
33	2168	61606
34	2230	61507
35	2283	61143
36	2341	60949
37	2398	60714
38	2445	60264
39	2509	60219
40	2552	59714
41	2596	59223
42	2645	58870
43	2710	58896
44	2782	59056
45	2838	58871
46	2906	58943
47	2961	58728
48	3007	58365
49	3057	58093
50	3104	57761
51	3147	57380
52	3193	57054
53	3238	56725
54	3280	56365
55	3336	56236
56	3387	56042
57	3445	55956
58	3489	55658
59	3533	55365
60	3576	55060
61	3622	54801
62	3665	54520
63	3714	54323
64	3761	54112
65	3811	53940
66	3868	53866
67	3939	53995
68	3988	53814
69	4033	53592
70	4077	53350
71	4128	53211
72	4169	52950
73	4209	52679
74	4256	52493
75	4304	52331
76	4359	52262
77	4416	52205
78	4482	52260
79	4539	52201
80	4593	52117
81	4640	51949
82	4680	51712
83	4731	51600
84	4770	51358
85	4815	51177
86	4871	51123
87	4927	51063
88	4955	50727
89	4984	50402
90	5015	50099
91	5050	49850
92	5082	49567
93	5128	49425
94	5175	49304
95	5220	49158
96	5258	48955
97	5308	48863
98	5357	48756
99	5411	48705
100	5469	48684
101	5516	48562
102	5562	48439
103	5604	48282
104	5646	48133
105	5687	47969
106	5737	47882
107	5775	47705
108	5823	47605
109	5868	47481
110	5924	47449
111	5970	47336
112	6030	47335
113	6084	47290
114	6147	47309
115	6192	47191
116	6240	47100
117	6283	46967
118	6326	46838
119	6364	46671
120	6409	46559
121	6453	46447
122	6496	46323
123	6527	46115
124	6550	45855
125	6546	45406
126	6605	45405
127	6673	45465
128	6723	45398
129	6768	45294
130	6815	45210
131	6863	45132
132	6909	45043
133	6951	44925
134	6992	44802
135	7045	44757
136	7216	45457
137	7317	45708
138	7419	45956
139	7471	45898
140	7531	45880
141	7592	45876
142	7649	45842
143	7692	45727
144	7733	45603
145	7781	45518
146	7824	45401
147	7873	45325
148	7918	45227
149	7957	45092
150	8080	45435
151	8168	45571
152	8234	45584
153	8293	45560
154	8360	45578
155	8406	45482
156	8461	45432
157	8510	45353
158	8584	45406
159	8634	45330
160	8677	45218
161	8720	45111
162	8771	45042
163	8814	44930
164	8862	44847
165	8903	44731
166	8950	44643
167	9004	44591
168	9068	44590
169	9126	44558
170	9192	44566
171	9258	44568
172	9301	44464
173	9346	44366
174	9389	44265
175	9435	44175
176	9477	44068
177	9525	43988
178	9572	43904
179	9621	43832
180	9677	43789
181	9738	43769
182	9786	43691
183	9843	43652
184	9873	43497
185	9904	43346
186	9936	43201
187	9973	43075
188	10005	42933
189	10040	42804
190	10075	42674
191	10109	42542
192	10147	42429
193	10203	42391
194	10256	42341
195	10308	42284
196	10378	42304
197	10429	42246
198	10477	42174
199	10530	42123
200	10578	42052
201	10618	41949
202	10671	41896
203	10715	41811
204	10760	41729
205	10797	41615
206	10845	41549
207	10898	41500
208	10975	41538
209	11033	41507
210	11093	41481
211	11141	41411
212	11184	41326
213	11230	41246
214	11274	41163
215	11307	41043
216	11351	40958
217	11395	40875
218	11450	40834
219	11506	40797
220	11554	40727
221	11592	40626
222	11633	40533
223	11683	40473
224	11724	40383
225	11770	40310
226	11817	40242
227	11859	40154
228	11903	40077
229	11958	40035
230	12016	40003
231	12077	39980
232	12145	39979
233	12196	39924
234	12243	39857
235	12286	39776
236	12338	39723
237	12381	39642
238	12426	39566
239	12470	39489
240	12519	39427
