Model,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
LogReg,0.7604095004095004,0.030928125623505744,0.04750316512585194,0.0016844304518663018,0.08941971673830407,0.0031935310875007227,0.8682399946689243,0.006641309822039404
AdaBoost,0.4809009009009008,0.037078561404828764,0.09369287272521562,0.005832941225397665,0.15665885011870978,0.008623392082610891,0.8649712963707223,0.01619856196200196
GradientBoosting,0.3574774774774775,0.017501294403669265,0.1039235203658384,0.006339062004878092,0.16096849516803224,0.008801621284276782,0.8635517173048719,0.01187498481624559
HistGradientBoosting,0.07809991809991809,0.02354034608296219,0.29535098522167486,0.08504604132663865,0.12346845120351972,0.03672636996973153,0.8606724054968045,0.011613745814060022
LightGBM,0.06902538902538903,0.024883363733236755,0.2698360215053763,0.08573849041464687,0.10943482600212959,0.03790412659283495,0.8601413118236148,0.01276809987508825
XGBoost,0.2087141687141687,0.00998705597084917,0.11110293855595735,0.006682227642990533,0.14482013611228717,0.0064713794229390486,0.8064867947147505,0.02346712532880116
RandomForest,0.04357084357084357,0.01339711115670073,0.2396117403483132,0.0977112275816008,0.07353763585183395,0.023578656587949894,0.8061351773567719,0.012852210267069416
ExtraTrees,0.04176904176904177,0.01238972571861271,0.2820977783826081,0.0901667428615045,0.07253078000544011,0.02142439156556674,0.7942504476954877,0.016094626101327624
DecisionTree,0.10535626535626537,0.03979446011488192,0.06571593607863364,0.025884401852518342,0.08090802803160126,0.03130372156961202,0.5442654107161238,0.020274387210624554
CatBoost,,,,,,,,
